MSR_Id;Lane;Direction;Latitude;Longitude;Name;Canton;Direction;Street 
CH:0026.01;lane1;;46.9988632;8.31111336;ENNETHORW (AB);LU;LUZERN;A 2
CH:0002.02;lane1;negative;46.5751495;6.7246213;CHALET-A-GOBET;VD;LAUSANNE            ;H 1
CH:0003.01;lane1;negative;46.1050797;8.69817543;BRISSAGO S;TI;LOCARNO             ;H 13
CH:0026.02;lane1;negative;46.9988785;8.31123352;ENNETHORW (AB);LU;LUZERN;A 2
CH:0393.04;lane2;positive;46.8433304;8.20024967;SACHSELN, ZOLLHAUS;OW;BRUENIG;A 8
CH:0005.02;lane1;negative;47.0001945;9.07607269;SCHWANDEN N;GL;LINTHAL             ;H 17
CH:0006.01;lane1;negative;47.5379257;7.62413597;MUTTENZ, A2/ZUBR. SCHAENZLI;BL;BASEL               ;H 18
CH:0006.02;lane2;negative;47.5379257;7.62419224;MUTTENZ, A2/ZUBR. SCHAENZLI;BL;BASEL               ;H 18
CH:0026.03;lane2;negative;46.9988747;8.31128216;ENNETHORW (AB);LU;LUZERN;A 2
CH:0026.04;lane2;positive;46.9989243;8.31138039;ENNETHORW (AB);LU;STANS;A 2
CH:0009.01;lane1;negative;46.770153;8.14407444;BRUENIG, LETZI;OW;LUZERN              ;A 8
CH:0020.01;emergencyLane;positive;47.4296455;8.51094341;UMF. ZUERICH N, AFFOLTERN (AB);ZH;GLATTBRUGG          ;A 1C
CH:0010.01;lane1;negative;46.6169052;8.56317139;HOSPENTAL S, ST. GOTTHARD;UR;GOESCHENEN;H 2
CH:0020.02;lane1;positive;47.4296761;8.51092434;UMF. ZUERICH N, AFFOLTERN (AB);ZH;GLATTBRUGG          ;A 1C
CH:0014.01;lane1;negative;46.4647026;9.79491425;JULIER, LA VEDUTA;GR;CHUR                ;H 3
CH:0020.03;lane2;positive;47.4297028;8.5109005;UMF. ZUERICH N, AFFOLTERN (AB);ZH;GLATTBRUGG          ;A 1C
CH:0393.05;lane1;positive;46.8433647;8.20007515;SACHSELN, ZOLLHAUS;OW;BRUENIG;A 8
CH:0016.02;lane1;negative;47.1020393;7.1759944;TWANN, WINGREIS (AR);BE;NEUCHATEL           ;A 5
